neighborhood,airbnb_count,airbnb_density,median_property_price,population,median_income,rent_to_income_ratio,price_to_income_ratio,airbnb_density_level,airbnb_price
Downtown,1382,0.0337073170731707,530000.0,41000.0,122500.0,0.2701063545150501,12.077926421404683,Very High,
Design District,379,0.0108285714285714,575000.0,35000.0,46000.0,0.7166086956521739,32.04347826086956,Very High,
Edgewater,434,0.0379,610000.0,,,,,Very High,
Coconut Grove,718,0.0205142857142857,1290000.0,35000.0,98000.0,0.3363673469387755,19.36275510204081,Very High,
Little Havana,569,0.0107358490566037,405000.0,53000.0,47000.0,0.7013617021276596,31.361702127659573,High,
Silver Bluff,12,0.0188666666666666,780000.0,,,,,High,
Upper Eastside,12,0.0167333333333333,720000.0,,,,,Medium,
Allapattah,190,0.0038775510204081,420000.0,49000.0,49000.0,0.672734693877551,30.081632653061224,Medium,
Brickell,1179,0.0786,725000.0,15000.0,92000.0,0.3583043478260869,16.02173913043478,High,
Liberty City,12,0.0001290322580645,320000.0,93000.0,51000.0,0.6466015384615384,20.02846153846154,Low,
Doral,373,0.0047820512820512,610000.0,78000.0,69500.0,0.4833329113924051,18.70411392405063,Low,132.5
Coral Gables,392,0.0093333333333333,1380000.0,42000.0,97000.0,0.3416141025641025,3.160790598290598,Medium,216.67
Health District,173,0.0192222222222222,430000.0,9000.0,44000.0,0.7491818181818182,33.5,High,
Government Center,136,0.0123636363636363,495000.0,11000.0,45000.0,0.7325333333333334,32.75555555555555,Medium,
Little Haiti,298,0.0096129032258064,375000.0,31000.0,48000.0,0.68675,11.458333333333334,Low,
North Beach,379,0.0011666666666666,690000.0,,,,,Low,
South Beach,1562,0.0380975609756097,850000.0,41000.0,120000.0,0.2747,12.283333333333331,Very Low,
Key Biscayne,383,0.0736538461538461,2100000.0,5200.0,145000.0,0.2273379310344827,10.16551724137931,Very Low,216.67
