neighborhood,airbnb_count,airbnb_density,median_property_price,population,median_income,rent_to_income_ratio,price_to_income_ratio,price,latitude,longitude,bedrooms,bathrooms,sqft,airbnb_price
Allapattah,190.0,0.0038775510204081,420000.0,49000.0,49000.0,0.672734693877551,30.081632653061224,420000.0,25.7617,-80.1918,5.0,4.0,3000.0,
Brickell,1179.0,0.0786,725000.0,15000.0,92000.0,0.3583043478260869,16.02173913043478,725000.0,25.7667,-80.1968,5.0,4.0,3000.0,
Coconut Grove,718.0,0.0205142857142857,1290000.0,35000.0,98000.0,0.3363673469387755,19.36275510204081,1290000.0,25.771700000000003,-80.2018,5.0,4.0,3000.0,
Coral Gables,392.0,0.0186666666666666,1380000.0,21000.0,97000.0,0.3416141025641025,3.160790598290598,1380000.0,25.7767,-80.2068,1.525,1.22,732.0,216.67
Design District,379.0,0.0108285714285714,575000.0,35000.0,46000.0,0.7166086956521739,32.04347826086956,575000.0,25.7817,-80.2118,5.0,4.0,3000.0,
Doral,373.0,0.0095641025641025,610000.0,39000.0,69500.0,0.4833329113924051,18.70411392405063,610000.0,25.7867,-80.2168,5.0,4.0,3000.0,132.5
Downtown,1382.0,0.0674146341463414,530000.0,20500.0,122500.0,0.2701063545150501,12.077926421404683,530000.0,25.7917,-80.2218,5.0,4.0,3000.0,
Edgewater,434.0,0.0147762645914396,610000.0,29371.42857142857,76714.28571428571,0.5141096268503555,20.214667087133925,610000.0,25.7967,-80.2268,5.0,4.0,3000.0,
Government Center,136.0,0.0123636363636363,495000.0,11000.0,45000.0,0.7325333333333334,32.75555555555555,495000.0,25.8017,-80.2318,5.0,4.0,3000.0,
Health District,173.0,0.0192222222222222,430000.0,9000.0,44000.0,0.7491818181818182,33.5,430000.0,25.806700000000003,-80.2368,5.0,4.0,3000.0,
Key Biscayne,383.0,0.0736538461538461,2100000.0,5200.0,145000.0,0.2273379310344827,10.16551724137931,2100000.0,25.8117,-80.2418,5.0,4.0,3000.0,216.67
Liberty City,12.0,0.000258064516129,320000.0,46500.0,51000.0,0.6466015384615384,20.02846153846154,320000.0,25.8167,-80.24680000000001,5.0,4.0,2428.8,
Little Haiti,298.0,0.0096129032258064,375000.0,31000.0,48000.0,0.68675,11.458333333333334,375000.0,25.8217,-80.2518,2.75,2.2,1320.0,
Little Havana,569.0,0.0107358490566037,405000.0,53000.0,47000.0,0.7013617021276596,31.361702127659573,405000.0,25.8267,-80.2568,5.0,4.0,3000.0,
North Beach,379.0,0.0129036964980544,690000.0,29371.42857142857,76714.28571428571,0.5141096268503555,20.214667087133925,690000.0,25.8317,-80.2618,2.75,2.2,1320.0,
Silver Bluff,12.0,0.000408560311284,780000.0,29371.42857142857,76714.28571428571,0.5141096268503555,20.214667087133925,780000.0,25.8367,-80.2668,5.0,4.0,3000.0,
South Beach,1562.0,0.0380975609756097,850000.0,41000.0,120000.0,0.2747,12.283333333333331,850000.0,25.8417,-80.2718,5.0,4.0,3000.0,
Upper Eastside,12.0,0.000408560311284,720000.0,29371.42857142857,76714.28571428571,0.5141096268503555,20.214667087133925,720000.0,25.8467,-80.2768,2.75,2.2,1320.0,
Mid Beach,583.0,0.02332,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Sunny Isles Beach,200.0,0.009090909090909,500000.0,22000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,216.67
Bal Harbour,36.0,0.00144,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,216.67
Surfside,43.0,0.00172,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,216.67
Midtown,257.0,0.01028,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Wynwood,515.0,0.0302941176470588,500000.0,17000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Overtown,95.0,0.0038,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Pinecrest,78.0,0.00312,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,132.5
Aventura,165.0,0.0043421052631578,500000.0,38000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,132.5
Kendall,127.0,0.0016933333333333,500000.0,75000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Westchester,194.0,0.00776,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Fontainebleau,204.0,0.00816,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
North Miami,274.0,0.0047241379310344,500000.0,58000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
North Miami Beach,258.0,0.0062926829268292,500000.0,41000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Miami Gardens,289.0,0.01156,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Miami Lakes,138.0,0.00552,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Homestead,8.0,0.00032,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Cutler Bay,262.0,0.01048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
